Size	   Bubble Sort	Selection Sort	Insertion Sort	The Fast Heap Sort	Comb Sorter	Cocktail Sort
50	170254.56	148185.92	246688.66	61153.55	2841.275	1923.605
100	148128.94	36457.297	254784.92	28019.08	2200.03	1943.55
150	216720.4	80603.266	50683.4	45890.074	2399.57	2182.94
200	311190.78	138089.19	85009.06	53835.285	2504.94	2536.32
250	479450.44	203226.64	130186.62	67120.97	4001.105	3032.145
300	675281.75	286163.78	181388.72	82378.69	3949.775	3593.565
350	944424.06	393902.84	284610.72	109816.44	4636.59	4160.69
400	1209927.0	496164.44	321965.8	117596.34	4129.31	16220.97
450	1556293.2	640514.75	412531.7	132381.0	2482.2	2254.155
500	1856157.6	755038.94	480439.4	144575.3	2168.685	1866.625
550	2241357.8	908907.7	577309.06	160571.05	2248.49	1954.94
600	2673054.2	1088799.4	686704.0	178536.2	2536.305	2134.425
650	3120639.8	1256580.9	798324.56	196110.7	2470.835	2265.585
700	3633974.0	1459975.5	931944.75	214198.34	2653.155	2336.805
750	4156757.5	1667807.4	1057124.2	230436.36	2789.98	2365.33
800	4779772.0	1895311.9	1213170.4	250102.7	2929.61	2587.575
850	5351706.5	2131347.2	1373099.9	268432.47	3231.685	2638.94
900	5999399.0	2380053.5	1524024.4	284174.66	3188.935	2698.725
950	6662759.5	2654358.0	1701386.5	304983.84	3476.785	2809.895
1000	7417690.0	2936698.5	1888423.9	319899.72	3527.995	3109.195
